kind,system_cpu,heap_free,task,task_cpu,window_us,avg_us,wcet_us,cycles
system_cpu,47.69,,,,,,,
heap,,263104,,,,,,
task,,,Sensor,8.36,835931,41796.6,126431,20
task,,,Process,1.91,191400,9114.3,10127,21
task,,,Output,38.93,3892570,114487.4,165974,34
system_cpu,65.06,,,,,,,
heap,,262840,,,,,,
task,,,Sensor,13.49,1366760,54670.4,126431,25
task,,,Process,2.38,241596,9663.8,10127,25
task,,,Output,49.19,4985835,118710.4,165975,42
system_cpu,59.03,,,,,,,
heap,,262840,,,,,,
task,,,Sensor,7.01,710758,27336.8,126431,26
task,,,Process,2.39,242260,9690.4,10127,25
task,,,Output,49.62,5029806,116972.2,165975,43
system_cpu,60.44,,,,,,,
heap,,262840,,,,,,
task,,,Sensor,7.44,754756,30190.2,126431,25
task,,,Process,2.39,242642,9705.7,19122,25
task,,,Output,50.61,5131738,114038.6,167971,45
system_cpu,59.4,,,,,,,
heap,,262840,,,,,,
task,,,Sensor,7.37,746753,29870.1,126431,25
task,,,Process,2.4,243571,9742.8,19122,25
task,,,Output,50.38,5107819,118786.5,167971,43
system_cpu,58.32,,,,,,,
heap,,262840,,,,,,
task,,,Sensor,7.43,753764,28990.9,126431,26
task,,,Process,2.56,259488,9980.3,19122,26
task,,,Output,48.52,4922859,120069.7,167971,41
system_cpu,59.89,,,,,,,
heap,,262840,,,,,,
task,,,Sensor,9.71,985770,39430.8,135431,25
task,,,Process,2.37,240129,9605.2,19122,25
task,,,Output,49.45,5019804,116739.6,178982,43
system_cpu,59.54,,,,,,,
heap,,262840,,,,,,
task,,,Sensor,7.91,802762,32110.5,136431,25
task,,,Process,2.37,240702,9628.1,19122,25
task,,,Output,49.26,4999794,116274.3,178982,43
system_cpu,60.43,,,,,,,
heap,,262840,,,,,,
task,,,Sensor,8.64,877187,35087.5,136431,25
task,,,Process,2.59,262608,10100.3,19638,26
task,,,Output,49.56,5031819,119805.2,178982,42
system_cpu,58.07,,,,,,,
heap,,262840,,,,,,
task,,,Sensor,6.61,671762,26870.5,136431,25
task,,,Process,2.37,240989,9639.6,19638,25
task,,,Output,49.09,4989829,118805.5,178982,42
system_cpu,58.52,,,,,,,
heap,,262840,,,,,,
task,,,Sensor,6.52,660757,26430.3,136431,25
task,,,Process,2.36,239000,9560.0,19638,25
task,,,Output,49.64,5029835,119758.0,178982,42
system_cpu,58.41,,,,,,,
heap,,262840,,,,,,
task,,,Sensor,6.51,660771,26430.8,136431,25
task,,,Process,2.36,239358,9574.3,19638,25
task,,,Output,51.03,5180927,120486.7,178982,43
